CAS,HC50,MW,AOH,BCF,BioHL,BP,HL,KM,KOA,LogP,MP,KOC,VP,WS,MoA
7209-38-3,3.19E+00,2.30E+00,-1.07E+01,2.07E-01,7.55E-01,2.81E+02,-7.49E+00,-8.48E-01,8.11E+00,2.10E+00,-1.30E+00,2.09E+01,-2.82E+00,4.43E-01,5.00E+00
7212-44-4,-1.46E-01,2.35E+00,-9.76E+00,2.06E+00,5.24E-01,2.76E+02,-6.82E+00,-2.71E-01,9.25E+00,3.01E+00,4.86E+00,2.87E+01,-2.19E+00,-2.86E+00,3.00E+00
72-48-0,1.71E-02,2.38E+00,-1.09E+01,1.58E+00,1.61E+00,4.26E+02,-9.70E+00,-8.61E-01,9.09E+00,3.25E+00,3.05E+00,2.74E+02,-9.06E+00,-2.97E+00,5.00E+00
7292-16-2,8.20E-01,2.48E+00,-1.08E+01,3.85E-01,5.82E-01,3.24E+02,-6.54E+00,-5.27E-01,1.02E+01,2.61E+00,3.59E+00,6.18E+01,-5.84E+00,-3.33E+00,5.00E+00
7307-55-3,-6.79E-01,2.23E+00,-1.07E+01,1.10E+00,8.98E-01,2.39E+02,-4.63E+00,2.48E-01,8.37E+00,2.84E+00,3.66E+00,1.86E+01,-1.37E+00,-3.08E+00,2.00E+00
7377-03-9,8.23E-01,2.20E+00,-1.09E+01,1.24E+00,5.71E-01,2.83E+02,-7.89E+00,-6.28E-01,7.84E+00,1.99E+00,1.54E+00,7.48E+01,-5.82E+00,-9.70E-01,5.00E+00
7378-99-6,7.78E-01,2.20E+00,-1.09E+01,1.84E+00,5.47E-01,1.86E+02,-2.86E+00,2.70E-01,4.82E+00,2.47E+00,2.66E+00,-5.25E+01,-5.97E-01,-2.48E+00,1.00E+00
738-70-5,1.43E+00,2.46E+00,-1.08E+01,1.67E+00,5.26E-01,3.37E+02,-7.00E+00,-2.02E-01,9.34E+00,2.06E+00,1.13E+00,2.02E+02,-7.75E+00,-3.03E+00,5.00E+00
74-97-5,1.53E+00,2.11E+00,-1.31E+01,7.52E-01,1.15E+00,6.43E+01,-2.42E+00,-7.27E-01,2.67E+00,1.91E+00,1.46E+00,-7.70E+01,2.26E+00,-1.14E+00,1.00E+00
75-18-3,8.54E-01,1.79E+00,-1.10E+01,7.35E-01,1.32E+00,3.77E+01,-2.74E+00,-7.71E-01,2.26E+00,1.28E+00,1.55E+00,-1.02E+02,2.46E+00,-1.25E+00,5.00E+00
75-36-5,1.32E+00,1.89E+00,-1.37E+01,8.86E-01,8.78E-01,6.15E+01,-4.32E+00,-9.55E-01,2.69E+00,1.14E+00,3.80E-01,-7.12E+01,2.07E+00,-1.63E-03,3.00E+00
75-39-8,2.01E+00,1.79E+00,-1.08E+01,3.91E-01,8.79E-01,2.17E+01,-4.36E+00,-7.70E-01,1.79E+00,4.10E-01,-2.11E-01,1.76E+02,2.87E+00,1.18E+00,3.00E+00
75-57-0,2.36E+00,2.04E+00,-1.09E+01,7.37E-01,1.17E+00,4.86E+01,-6.83E-01,-6.31E-01,1.79E+00,1.21E+00,-1.72E+00,1.84E+02,3.82E+00,1.17E-01,5.00E+00
75-89-8,1.77E+00,2.00E+00,-1.32E+01,5.60E-01,6.62E-01,7.75E+01,-4.83E+00,-9.35E-01,2.65E+00,1.12E+00,3.74E-01,-3.89E+01,1.78E+00,8.78E-01,1.00E+00
75-97-8,1.64E+00,2.00E+00,-1.18E+01,7.62E-01,7.23E-01,1.11E+02,-4.06E+00,-1.05E+00,3.19E+00,1.92E+00,1.36E+00,-6.09E+01,1.43E+00,-7.47E-01,1.00E+00
760-23-6,6.12E-01,2.10E+00,-1.05E+01,1.04E+00,5.87E-01,1.22E+02,-2.96E+00,-1.20E+00,3.53E+00,2.09E+00,2.00E+00,-4.24E+01,1.45E+00,-2.27E+00,3.00E+00
76-29-9,1.53E+00,2.36E+00,-1.06E+01,1.17E+00,6.42E-01,2.69E+02,-4.44E+00,-1.04E+00,5.68E+00,3.68E+00,3.30E+00,6.90E+01,-4.22E-01,-2.42E+00,5.00E+00
76-38-0,1.37E+00,2.22E+00,-1.31E+01,8.25E-01,6.14E-01,9.97E+01,-2.44E+00,6.81E-01,3.13E+00,1.65E+00,2.19E+00,-4.48E+01,1.95E+00,-2.25E+00,1.00E+00
764-01-2,7.03E-01,1.85E+00,-1.10E+01,5.99E-01,6.74E-01,1.38E+02,-5.14E+00,-7.95E-01,3.69E+00,9.64E-01,2.01E-03,-1.71E+01,9.02E-01,1.07E+00,5.00E+00
764-13-6,2.76E-01,2.04E+00,-9.68E+00,2.27E+00,1.23E+00,1.28E+02,-1.39E+00,3.79E-01,3.90E+00,2.42E+00,3.50E+00,-5.45E+01,1.57E+00,-3.48E+00,1.00E+00
766-51-8,5.98E-01,2.15E+00,-1.09E+01,1.96E+00,6.68E-01,1.97E+02,-5.08E+00,-9.00E-02,4.45E+00,2.22E+00,2.75E+00,-7.95E+00,-3.32E-01,-2.65E+00,1.00E+00
768-59-2,1.75E+00,2.13E+00,-1.07E+01,8.04E-01,5.52E-01,2.36E+02,-6.20E+00,-8.57E-01,6.70E+00,1.75E+00,2.16E+00,4.14E+01,-1.67E+00,-1.09E+00,3.00E+00
768-94-5,1.19E+00,2.18E+00,-1.09E+01,1.16E+00,2.79E+00,2.10E+02,-4.84E+00,-1.07E+00,7.46E+00,3.35E+00,2.34E+00,1.86E+02,-1.45E+00,-1.52E+00,5.00E+00
771-60-8,1.27E+00,2.26E+00,-1.31E+01,5.48E-01,7.21E-01,1.56E+02,-4.25E+00,-8.08E-01,4.46E+00,2.02E+00,2.45E+00,3.48E+01,-7.50E-01,-3.30E+00,5.00E+00
771-62-0,5.48E-01,2.30E+00,-1.32E+01,1.26E+00,7.37E-01,1.47E+02,-1.20E+00,1.97E-02,3.32E+00,2.51E+00,3.68E+00,-1.85E+01,-1.36E+00,-2.23E+00,5.00E+00
771-97-1,1.44E+00,2.20E+00,-9.86E+00,8.69E-01,1.50E+00,3.58E+02,-7.16E+00,-7.35E-01,8.11E+00,2.37E+00,1.48E+00,1.50E+02,-4.62E+00,-2.56E+00,5.00E+00
77458-01-6,-1.37E+00,2.56E+00,-1.08E+01,2.34E+00,5.25E-01,3.62E+02,-5.74E+00,3.29E-02,1.17E+01,3.27E+00,3.70E+00,2.62E+01,-7.71E+00,-4.15E+00,5.00E+00
776-35-2,-6.78E-01,2.26E+00,-1.04E+01,2.66E+00,2.10E+00,2.84E+02,-4.12E+00,6.62E-01,7.44E+00,3.98E+00,4.32E+00,9.37E+01,-3.41E+00,-4.79E+00,1.00E+00
77-74-7,2.53E+00,2.01E+00,-1.09E+01,6.66E-01,8.13E-01,1.25E+02,-4.71E+00,-1.04E+00,4.28E+00,1.67E+00,1.58E+00,-3.68E+01,6.73E-01,-4.50E-01,1.00E+00
77-78-1,7.25E-01,2.10E+00,-1.23E+01,2.87E-01,9.24E-01,1.89E+02,-7.16E+00,-9.47E-01,3.33E+00,4.35E-01,-7.13E-01,-2.09E+01,-2.33E-01,-3.65E-02,5.00E+00
780-11-0,1.05E+00,2.32E+00,-1.08E+01,2.46E+00,5.49E-01,2.70E+02,-8.70E+00,-5.35E-01,8.44E+00,2.28E+00,2.91E+00,1.14E+02,-5.10E+00,-3.84E+00,4.00E+00
78-27-3,2.43E+00,2.09E+00,-1.09E+01,7.61E-01,7.09E-01,1.72E+02,-5.51E+00,-9.15E-01,4.95E+00,1.94E+00,1.59E+00,3.03E+01,-3.88E-01,-5.97E-01,5.00E+00
78-62-6,-8.67E-02,2.17E+00,-1.09E+01,4.45E-01,6.16E-01,1.17E+02,-2.01E+00,2.37E-01,3.22E+00,1.71E+00,9.06E-01,-8.65E+01,1.27E+00,-1.97E+00,5.00E+00
78-88-6,1.76E+00,2.05E+00,-1.06E+01,9.09E-01,7.03E-01,9.21E+01,-3.52E+00,-1.10E+00,3.23E+00,1.68E+00,1.99E+00,-4.92E+01,1.79E+00,-1.70E+00,3.00E+00
789-02-6,-1.82E+00,2.55E+00,-1.22E+01,4.17E+00,1.13E+00,3.50E+02,-4.84E+00,1.76E+00,9.32E+00,5.10E+00,6.91E+00,1.04E+02,-5.97E+00,-6.86E+00,1.00E+00
79-57-2,2.96E-01,2.66E+00,-1.01E+01,1.53E-01,1.77E+00,3.78E+02,-1.09E+01,-3.89E-01,9.50E+00,2.73E+00,-1.03E+00,2.09E+02,-7.79E+00,-2.79E+00,5.00E+00
79-95-8,-1.77E-01,2.56E+00,-1.08E+01,2.57E+00,1.30E+00,3.99E+02,-6.13E+00,-4.47E-02,9.13E+00,4.65E+00,6.71E+00,1.43E+02,-7.36E+00,-4.93E+00,5.00E+00
80-15-9,7.84E-01,2.18E+00,-1.18E+01,1.17E+00,7.28E-01,2.45E+02,-5.75E+00,-8.40E-01,7.05E+00,1.67E+00,2.36E+00,-3.12E-01,-2.34E+00,-1.14E+00,5.00E+00
80-38-6,5.34E-01,2.43E+00,-1.16E+01,1.90E+00,6.96E-01,3.46E+02,-5.26E+00,-3.65E-01,8.41E+00,2.83E+00,3.64E+00,1.02E+02,-4.74E+00,-3.46E+00,3.00E+00
813-78-5,9.54E-01,2.10E+00,-1.05E+01,7.28E-01,6.91E-01,1.78E+02,-6.58E+00,-1.02E+00,5.03E+00,7.62E-01,-8.95E-01,7.16E+01,-4.18E-01,-5.57E-02,5.00E+00
81510-83-0,2.36E-01,2.51E+00,-1.09E+01,7.16E-01,5.24E-01,2.76E+02,-9.51E+00,-6.02E-01,9.00E+00,1.96E+00,4.74E-01,1.77E+02,-9.76E+00,-1.52E+00,5.00E+00
81-61-8,5.88E-01,2.43E+00,-1.08E+01,6.43E-01,1.61E+00,3.78E+02,-1.07E+01,-5.31E-01,9.39E+00,2.84E+00,1.85E+00,2.91E+02,-8.83E+00,-3.89E+00,5.00E+00
81-64-1,4.91E-01,2.38E+00,-1.09E+01,1.65E+00,1.61E+00,3.91E+02,-9.65E+00,-9.62E-01,9.05E+00,3.43E+00,3.07E+00,2.05E+02,-7.93E+00,-3.87E+00,5.00E+00
818-61-1,3.80E-01,2.06E+00,-1.07E+01,5.93E-01,6.66E-01,1.92E+02,-6.86E+00,-9.40E-01,4.60E+00,9.76E-01,-1.03E-01,-2.67E+01,-1.17E+00,8.13E-01,3.00E+00
821-55-6,8.81E-01,2.15E+00,-1.09E+01,1.83E+00,7.00E-01,1.90E+02,-3.58E+00,5.90E-02,4.58E+00,2.21E+00,3.18E+00,-2.45E+00,-2.30E-01,-2.55E+00,1.00E+00
822-86-6,9.64E-01,2.18E+00,-1.17E+01,1.47E+00,6.21E-01,1.89E+02,-3.31E+00,-6.61E-01,4.55E+00,2.58E+00,3.25E+00,-7.57E+00,9.39E-01,-2.62E+00,1.00E+00
825-44-5,8.45E-01,2.22E+00,-1.06E+01,7.74E-01,6.40E-01,2.65E+02,-7.04E+00,-8.56E-01,5.76E+00,1.64E+00,9.16E-01,5.87E+01,-3.07E+00,-1.77E+00,5.00E+00
825-90-1,3.57E+00,2.29E+00,-1.20E+01,6.93E-01,6.92E-01,3.16E+02,-1.04E+01,-9.48E-01,7.84E+00,1.82E+00,-1.22E+00,1.80E+02,-7.64E+00,-1.60E-01,5.00E+00
827-52-1,-5.61E-01,2.20E+00,-1.08E+01,3.08E+00,1.17E+00,2.40E+02,-2.96E+00,7.52E-01,5.67E+00,3.52E+00,5.18E+00,-2.04E+01,-1.07E+00,-4.40E+00,1.00E+00
830-96-6,8.29E-01,2.28E+00,-1.10E+01,5.15E-01,5.50E-01,3.10E+02,-9.16E+00,-3.33E-01,8.18E+00,2.13E+00,1.78E+00,1.46E+02,-7.48E+00,-2.17E+00,5.00E+00
83164-33-4,1.34E+00,2.60E+00,-1.10E+01,1.74E+00,5.49E-01,3.56E+02,-6.61E+00,-2.94E-01,1.06E+01,3.08E+00,4.99E+00,1.64E+02,-7.64E+00,-6.75E+00,5.00E+00
831-82-3,3.94E-01,2.27E+00,-1.02E+01,1.67E+00,7.80E-01,3.06E+02,-7.15E+00,-1.01E+00,9.23E+00,3.25E+00,3.38E+00,8.76E+01,-4.40E+00,-3.18E+00,1.00E+00
83-34-1,6.45E-01,2.12E+00,-1.05E+01,9.78E-01,4.24E-01,2.67E+02,-5.91E+00,-7.98E-01,7.77E+00,2.83E+00,2.57E+00,7.18E+01,-2.25E+00,-2.25E+00,5.00E+00
83-66-9,-5.09E-01,2.43E+00,-1.08E+01,3.27E+00,5.49E-01,3.57E+02,-5.76E+00,-7.19E-01,7.50E+00,3.64E+00,3.66E+00,8.73E+01,-3.93E+00,-4.16E+00,5.00E+00
84-62-8,-1.40E+00,2.50E+00,-1.10E+01,2.16E+00,7.34E-01,3.99E+02,-7.93E+00,-5.03E-01,1.09E+01,2.82E+00,4.25E+00,7.59E+01,-7.79E+00,-6.55E+00,5.00E+00
85-84-7,-4.74E-01,2.39E+00,-1.08E+01,1.23E+00,1.60E+00,3.45E+02,-7.34E+00,-6.49E-01,1.03E+01,3.58E+00,2.37E+00,1.11E+02,-9.17E+00,-4.60E+00,3.00E+00
85918-31-6,-2.27E+00,2.53E+00,-1.20E+01,5.31E+00,1.13E+00,3.46E+02,-4.62E+00,2.10E+00,9.63E+00,5.49E+00,6.40E+00,2.05E+02,-3.84E+00,-7.27E+00,1.00E+00
86-40-8,7.88E-01,2.41E+00,-1.08E+01,8.62E-01,1.61E+00,3.59E+02,-6.96E+00,-3.17E-01,9.20E+00,3.43E+00,-1.09E+00,1.87E+02,-8.07E+00,-1.45E+00,5.00E+00
86-53-3,5.61E-01,2.19E+00,-1.15E+01,2.04E+00,7.32E-01,3.00E+02,-3.55E+00,-3.54E-01,6.36E+00,2.98E+00,3.02E+00,5.09E+01,-3.13E+00,-3.78E+00,5.00E+00
868-77-9,1.62E+00,2.11E+00,-1.05E+01,5.12E-01,6.67E-01,1.86E+02,-7.10E+00,-9.55E-01,4.92E+00,1.32E+00,4.10E-01,-3.81E+01,-9.56E-01,1.86E-01,3.00E+00
87130-20-9,4.43E-01,2.43E+00,-1.08E+01,1.30E+00,6.66E-01,3.02E+02,-9.49E+00,-3.03E-01,1.04E+01,2.42E+00,2.96E+00,1.02E+02,-4.51E+00,-3.82E+00,4.00E+00
87-17-2,-6.81E-01,2.33E+00,-1.07E+01,1.35E+00,1.16E+00,3.24E+02,-9.71E+00,-9.36E-01,8.42E+00,2.40E+00,3.27E+00,1.50E+02,-7.95E+00,-3.60E+00,5.00E+00
872-31-1,4.91E-01,2.21E+00,-1.14E+01,1.02E+00,9.94E-01,1.53E+02,-3.14E+00,-1.09E+00,3.92E+00,2.13E+00,2.64E+00,-4.06E+01,1.26E+00,-2.15E+00,2.00E+00
872-85-5,1.90E+00,2.03E+00,-1.04E+01,5.55E-01,6.31E-01,1.88E+02,-6.79E+00,-6.98E-01,3.97E+00,1.47E+00,4.42E-01,2.90E+01,-3.05E-01,-1.65E+00,3.00E+00
873-63-2,1.40E+00,2.15E+00,-1.08E+01,1.14E+00,5.52E-01,2.33E+02,-6.23E+00,-8.41E-01,6.38E+00,1.84E+00,1.93E+00,6.98E+01,-1.36E+00,-1.79E+00,3.00E+00
873-75-6,1.45E+00,2.27E+00,-1.07E+01,7.73E-01,6.54E-01,2.24E+02,-6.85E+00,-7.64E-01,7.76E+00,1.89E+00,2.11E+00,7.40E+01,-1.50E+00,-1.88E+00,3.00E+00
873-76-7,1.60E+00,2.15E+00,-1.08E+01,1.01E+00,6.54E-01,2.33E+02,-8.64E+00,-8.32E-01,6.38E+00,1.79E+00,1.93E+00,7.36E+01,-1.49E+00,-1.78E+00,3.00E+00
87-40-1,-1.16E+00,2.33E+00,-1.20E+01,2.81E+00,6.12E-01,2.41E+02,-3.27E+00,1.24E+00,5.66E+00,2.92E+00,4.00E+00,6.47E+01,-5.70E-01,-4.42E+00,1.00E+00
874-42-0,7.23E-02,2.24E+00,-1.06E+01,1.45E+00,5.72E-01,2.37E+02,-3.60E+00,4.40E-01,5.65E+00,2.59E+00,2.95E+00,6.02E+01,-1.40E+00,-3.29E+00,3.00E+00
87-64-9,2.48E+00,2.15E+00,-1.06E+01,9.19E-01,4.62E-01,2.00E+02,-5.62E+00,-8.52E-01,5.97E+00,2.17E+00,2.77E+00,6.24E+01,-1.28E+00,-1.11E+00,5.00E+00
877-65-6,1.47E+00,2.22E+00,-1.07E+01,1.41E+00,7.26E-01,2.35E+02,-6.21E+00,-7.90E-01,7.46E+00,2.01E+00,4.03E+00,5.46E+01,-1.89E+00,-2.18E+00,3.00E+00
87-91-2,2.51E+00,2.31E+00,-1.13E+01,4.02E-02,6.65E-01,2.83E+02,-9.16E+00,-1.07E+00,7.83E+00,1.39E+00,-4.02E-01,1.76E+01,-6.04E+00,-2.59E-01,1.00E+00
88-04-0,-8.62E-02,2.19E+00,-1.01E+01,1.32E+00,7.26E-01,2.47E+02,-5.90E+00,-1.06E+00,7.54E+00,2.75E+00,3.15E+00,8.97E+01,-1.85E+00,-2.52E+00,5.00E+00
88-18-6,7.92E-02,2.18E+00,-1.01E+01,1.92E+00,7.32E-01,2.30E+02,-6.14E+00,-1.04E+00,7.50E+00,3.03E+00,3.33E+00,1.90E+01,-1.19E+00,-2.31E+00,5.00E+00
882-33-7,-1.26E+00,2.34E+00,-1.13E+01,2.71E+00,2.40E+00,3.16E+02,-3.61E+00,1.74E+00,8.20E+00,4.00E+00,4.42E+00,6.20E+01,-3.70E+00,-4.67E+00,3.00E+00
88-44-8,2.30E+00,2.27E+00,-1.09E+01,6.27E-01,5.27E-01,3.10E+02,-8.37E+00,-8.62E-01,7.95E+00,1.56E+00,-1.58E+00,1.93E+02,-9.37E+00,-3.74E-01,5.00E+00
88-68-6,2.30E+00,2.13E+00,-1.10E+01,7.91E-01,6.91E-01,3.00E+02,-8.34E+00,-9.69E-01,7.96E+00,1.90E+00,1.42E-01,1.57E+02,-3.10E+00,-9.08E-01,5.00E+00
89-60-1,7.93E-01,2.23E+00,-1.17E+01,2.02E+00,5.50E-01,2.52E+02,-5.02E+00,-5.93E-01,4.99E+00,2.73E+00,2.67E+00,2.99E+01,-1.26E+00,-3.43E+00,2.00E+00
89-62-3,1.31E+00,2.18E+00,-1.16E+01,8.63E-01,5.51E-01,2.93E+02,-7.03E+00,-8.53E-01,7.50E+00,1.90E+00,1.49E+00,9.92E+01,-4.19E+00,-2.90E+00,5.00E+00
89-63-4,2.36E-01,2.24E+00,-1.18E+01,9.66E-01,6.62E-01,3.15E+02,-7.30E+00,-8.67E-01,7.72E+00,1.95E+00,2.45E+00,1.18E+02,-4.80E+00,-2.81E+00,5.00E+00
89-68-9,-4.03E-01,2.27E+00,-1.04E+01,2.23E+00,4.06E-01,2.55E+02,-6.14E+00,-1.02E+00,8.40E+00,3.58E+00,3.83E+00,5.87E+01,-1.90E+00,-2.29E+00,5.00E+00
89-72-5,-1.87E-01,2.18E+00,-1.01E+01,1.56E+00,5.24E-01,2.30E+02,-6.16E+00,-1.04E+00,7.57E+00,3.45E+00,3.31E+00,2.04E+01,-2.01E+00,-2.21E+00,5.00E+00
89-82-7,1.09E+00,2.18E+00,-1.03E+01,9.98E-01,5.22E-01,2.27E+02,-3.68E+00,-1.05E+00,5.08E+00,2.65E+00,2.90E+00,1.21E+01,-7.95E-01,-2.13E+00,5.00E+00
90-04-0,6.55E-01,2.09E+00,-1.02E+01,7.40E-01,5.55E-01,2.33E+02,-6.74E+00,-8.97E-01,6.15E+00,1.77E+00,1.16E+00,2.00E+01,-1.22E+00,-9.18E-01,5.00E+00
90-05-1,1.11E+00,2.09E+00,-1.00E+01,9.91E-01,7.17E-01,2.17E+02,-6.30E+00,-6.96E-01,5.91E+00,1.73E+00,1.27E+00,2.42E+01,-1.31E+00,-1.03E+00,1.00E+00
90-27-7,2.64E+00,2.22E+00,-1.09E+01,4.83E-01,5.49E-01,2.72E+02,-6.70E+00,-9.96E-01,7.71E+00,1.78E+00,2.95E+00,7.65E+01,-3.40E+00,-2.23E+00,1.00E+00
90-59-5,-3.72E-01,2.45E+00,-1.05E+01,7.52E-01,4.92E-01,2.73E+02,-7.02E+00,-7.18E-01,8.52E+00,2.67E+00,3.56E+00,8.51E+01,-4.68E+00,-2.78E+00,3.00E+00
91-17-8,9.52E-02,2.14E+00,-1.07E+01,3.10E+00,1.80E+00,1.80E+02,-1.42E+00,9.08E-01,4.84E+00,3.64E+00,4.70E+00,1.93E+01,1.04E-02,-5.28E+00,1.00E+00
91-63-4,9.10E-01,2.16E+00,-1.04E+01,1.08E+00,6.60E-01,2.57E+02,-4.24E+00,7.26E-02,5.74E+00,3.03E+00,2.59E+00,5.86E+00,-2.00E+00,-2.03E+00,5.00E+00
91-65-6,9.12E-01,2.19E+00,-1.09E+01,1.68E+00,6.92E-01,1.89E+02,-3.57E+00,9.41E-01,4.97E+00,2.13E+00,2.73E+00,-4.52E+01,-4.22E-01,-1.62E+00,5.00E+00
91-88-3,1.42E+00,2.25E+00,-1.07E+01,9.14E-01,5.48E-01,2.71E+02,-6.32E+00,-5.24E-01,8.66E+00,2.28E+00,1.97E+00,6.90E+01,-3.50E+00,-1.65E+00,5.00E+00
920-66-1,2.09E+00,2.23E+00,-1.37E+01,3.90E-01,8.79E-01,6.61E+01,-4.39E+00,-1.28E+00,2.68E+00,1.28E+00,1.60E+00,-6.31E+00,2.08E+00,-3.86E-01,1.00E+00
924-41-4,1.28E+00,1.99E+00,-1.01E+01,4.82E-01,5.53E-01,1.34E+02,-5.05E+00,-7.90E-01,4.31E+00,1.10E+00,1.16E+00,-6.92E+00,4.40E-01,-2.72E-01,3.00E+00
92-51-3,-1.76E+00,2.22E+00,-1.07E+01,2.75E+00,1.59E+00,2.36E+02,-1.68E+00,4.72E-01,5.66E+00,3.39E+00,5.23E+00,-4.33E+00,-7.30E-01,-6.26E+00,1.00E+00
927-74-2,1.26E+00,1.85E+00,-1.10E+01,6.63E-01,7.37E-01,1.27E+02,-5.15E+00,-7.97E-01,3.73E+00,9.65E-01,-3.36E-01,-4.97E+01,8.84E-01,1.02E+00,5.00E+00
92-82-0,9.87E-01,2.26E+00,-1.08E+01,1.48E+00,1.29E+00,3.12E+02,-6.15E+00,5.72E-01,7.37E+00,3.50E+00,2.67E+00,1.64E+02,-3.84E+00,-2.78E+00,5.00E+00
92-83-1,1.01E+00,2.26E+00,-1.04E+01,1.87E+00,1.41E+00,3.03E+02,-4.38E+00,1.84E-01,7.26E+00,4.13E+00,4.20E+00,1.00E+02,-3.41E+00,-4.11E+00,1.00E+00
92-88-6,7.32E-01,2.27E+00,-1.01E+01,1.69E+00,1.35E+00,3.28E+02,-6.91E+00,-3.87E-01,8.15E+00,3.01E+00,3.22E+00,2.34E+02,-6.72E+00,-2.57E+00,5.00E+00
928-96-1,2.28E+00,2.00E+00,-1.00E+01,6.79E-01,6.53E-01,1.59E+02,-5.11E+00,-7.30E-01,4.65E+00,1.26E+00,1.37E+00,-4.65E+01,1.36E-01,-5.94E-01,5.00E+00
93-04-9,3.05E-01,2.20E+00,-1.04E+01,2.47E+00,7.26E-01,2.72E+02,-3.70E+00,-1.54E-02,5.81E+00,3.46E+00,3.42E+00,2.57E+01,-2.27E+00,-4.20E+00,1.00E+00
934-32-7,1.78E+00,2.12E+00,-9.95E+00,6.38E-01,4.02E-01,3.04E+02,-7.03E+00,-9.58E-01,8.08E+00,1.66E+00,9.82E-01,2.21E+02,-6.95E+00,-1.84E+00,5.00E+00
93-51-6,1.88E+00,2.14E+00,-1.01E+01,9.12E-01,5.44E-01,2.28E+02,-6.20E+00,-1.01E+00,6.48E+00,2.35E+00,1.48E+00,1.14E+01,-1.71E+00,-1.57E+00,1.00E+00
93-71-0,2.03E-01,2.24E+00,-1.02E+01,9.40E-01,6.33E-01,2.30E+02,-6.34E+00,-1.11E+00,5.83E+00,1.36E+00,1.75E+00,-1.54E+01,-1.84E+00,-9.72E-01,3.00E+00
937-20-2,7.70E-01,2.28E+00,-1.17E+01,7.28E-01,5.54E-01,2.64E+02,-5.97E+00,4.54E-01,5.81E+00,2.24E+00,2.43E+00,6.34E+01,-1.58E+00,-2.91E+00,5.00E+00
93-78-7,-5.82E-02,2.47E+00,-1.09E+01,2.62E+00,6.51E-01,3.29E+02,-8.15E+00,5.87E-02,8.42E+00,2.98E+00,4.32E+00,4.81E+01,-4.28E+00,-4.30E+00,1.00E+00
93-79-8,7.39E-01,2.49E+00,-1.09E+01,1.74E+00,5.49E-01,3.43E+02,-7.74E+00,1.63E-01,8.97E+00,3.09E+00,4.70E+00,3.83E+01,-4.72E+00,-4.27E+00,1.00E+00
93-91-4,-2.60E-01,2.21E+00,-1.07E+01,7.09E-01,5.52E-01,2.58E+02,-5.78E+00,-9.67E-01,5.79E+00,2.18E+00,1.57E+00,6.95E+01,-2.52E+00,-2.49E+00,1.00E+00
939-23-1,1.07E+00,2.19E+00,-1.09E+01,1.76E+00,1.22E+00,2.76E+02,-4.06E+00,3.00E-01,6.11E+00,2.54E+00,2.59E+00,8.72E+01,-2.02E+00,-3.26E+00,5.00E+00
941-98-0,6.04E-01,2.23E+00,-1.16E+01,2.09E+00,7.28E-01,2.99E+02,-5.98E+00,-8.88E-01,6.91E+00,2.98E+00,2.90E+00,4.95E+01,-3.28E+00,-3.08E+00,5.00E+00
94-41-7,6.45E-01,2.32E+00,-1.14E+01,2.42E+00,1.03E+00,3.45E+02,-7.51E+00,-1.02E+00,7.55E+00,2.62E+00,3.12E+00,6.56E+01,-3.27E+00,-3.73E+00,3.00E+00
945-51-7,1.64E+00,2.31E+00,-1.15E+01,1.37E+00,1.23E+00,3.36E+02,-5.42E+00,-9.87E-01,7.93E+00,2.83E+00,2.04E+00,8.92E+01,-4.60E+00,-3.72E+00,5.00E+00
94-62-2,1.04E+00,2.46E+00,-1.06E+01,1.11E+00,5.26E-01,3.42E+02,-7.44E+00,-6.67E-02,9.25E+00,3.13E+00,2.72E+00,1.21E+02,-6.13E+00,-3.02E+00,3.00E+00
94-67-7,2.08E-01,2.14E+00,-1.18E+01,9.40E-01,5.52E-01,2.78E+02,-7.95E+00,-7.66E-01,6.03E+00,1.79E+00,1.13E+00,5.89E+01,-3.02E+00,-7.03E-01,3.00E+00
94-96-2,2.51E+00,2.17E+00,-1.04E+01,6.84E-01,5.49E-01,2.41E+02,-6.83E+00,-1.15E+00,7.58E+00,1.84E+00,1.49E+00,-1.67E+01,-2.58E+00,-4.97E-01,1.00E+00
95-01-2,8.45E-01,2.14E+00,-1.08E+01,8.49E-01,5.51E-01,2.63E+02,-8.55E+00,-9.94E-01,7.84E+00,1.65E+00,1.03E+00,1.29E+02,-5.33E+00,-1.01E+00,3.00E+00
95-15-8,9.39E-01,2.13E+00,-1.04E+01,2.02E+00,1.35E+00,2.17E+02,-3.16E+00,-6.25E-01,5.00E+00,3.36E+00,3.23E+00,2.46E+01,-6.69E-01,-2.72E+00,5.00E+00
95-16-9,1.51E+00,2.13E+00,-1.08E+01,8.87E-01,9.30E-01,2.31E+02,-5.02E+00,-8.72E-01,5.08E+00,2.73E+00,2.05E+00,1.36E+01,-1.79E+00,-1.53E+00,5.00E+00
95-52-3,9.88E-01,2.04E+00,-1.12E+01,1.03E+00,7.30E-01,1.18E+02,-2.98E+00,-7.48E-01,3.87E+00,1.93E+00,2.60E+00,-6.16E+01,1.24E+00,-2.25E+00,1.00E+00
95-56-7,9.52E-01,2.24E+00,-1.11E+01,1.28E+00,1.03E+00,2.01E+02,-5.95E+00,-4.51E-01,5.93E+00,2.56E+00,2.40E+00,1.60E+01,-8.50E-01,-9.20E-01,5.00E+00
95-68-1,1.45E+00,2.08E+00,-1.06E+01,6.91E-01,5.72E-01,2.17E+02,-5.71E+00,-9.65E-01,6.48E+00,1.89E+00,1.78E+00,5.31E-01,-1.08E+00,-1.35E+00,5.00E+00
