CAS,HC50,MW,AOH,BCF,BioHL,BP,HL,KM,KOA,LogP,MP,KOC,VP,WS,MoA
616-45-5,2.13E+00,1.93E+00,-1.11E+01,1.23E-01,6.53E-01,2.39E+02,-6.12E+00,-6.99E-01,4.90E+00,1.08E+00,-8.69E-01,2.99E+01,-1.70E+00,9.74E-01,5.00E+00
61-73-4,1.37E+00,2.50E+00,-1.08E+01,1.19E+00,1.49E+00,3.21E+02,-5.83E+00,3.47E-01,1.04E+01,2.87E+00,3.74E+00,1.89E+02,-7.32E+00,-1.37E+00,5.00E+00
618-62-2,9.47E-02,2.28E+00,-1.21E+01,2.05E+00,6.84E-01,2.60E+02,-5.02E+00,4.76E-01,5.09E+00,3.21E+00,3.02E+00,5.46E+01,-1.72E+00,-3.48E+00,2.00E+00
618-87-1,6.53E-01,2.26E+00,-1.20E+01,7.68E-01,7.77E-01,3.37E+02,-7.37E+00,-8.74E-01,7.73E+00,2.47E+00,1.66E+00,1.65E+02,-4.70E+00,-2.73E+00,5.00E+00
61949-76-6,-2.45E+00,2.59E+00,-1.05E+01,2.67E+00,5.25E-01,4.01E+02,-8.38E+00,3.68E-01,1.17E+01,4.84E+00,6.41E+00,5.08E+01,-7.52E+00,-6.20E+00,4.00E+00
61949-77-7,-2.16E+00,2.59E+00,-1.05E+01,2.67E+00,5.25E-01,4.01E+02,-8.38E+00,3.68E-01,1.17E+01,4.84E+00,6.41E+00,5.08E+01,-7.52E+00,-6.20E+00,4.00E+00
623-37-0,2.51E+00,2.01E+00,-1.09E+01,6.71E-01,6.15E-01,1.37E+02,-4.69E+00,-9.81E-01,4.37E+00,1.32E+00,1.72E+00,-4.00E+01,5.20E-01,-7.82E-01,1.00E+00
62476-59-9,1.55E+00,2.58E+00,-1.09E+01,7.01E-01,5.50E-01,3.22E+02,-8.10E+00,-4.86E-02,1.06E+01,2.36E+00,3.73E+00,1.54E+02,-8.94E+00,-3.53E+00,5.00E+00
626-43-7,1.04E-01,2.21E+00,-1.06E+01,1.21E+00,1.17E+00,2.57E+02,-6.70E+00,-8.94E-01,7.49E+00,2.60E+00,2.78E+00,5.43E+01,-9.56E-01,-2.58E+00,5.00E+00
626-93-7,2.39E+00,2.01E+00,-1.09E+01,6.74E-01,6.97E-01,1.42E+02,-4.70E+00,-9.79E-01,4.37E+00,1.25E+00,1.81E+00,-5.75E+01,4.36E-01,-8.54E-01,1.00E+00
